"TP load","Qmin","Crop production","NSWRM costs","linE","pond_share_con","hedge_share_con","grassslope_share_con","buffer_share_con","lowtillcc_share_con","lu_share","pond_moran","hedge_moran","grassslope_moran","buffer_moran","lowtillcc_moran","pond_channel_frac","grassslope_channel_frac","buffer_channel_frac","lowtillcc_channel_frac"
-5607,0.14561,58954.327,-558818.3679,6.702898551,20.79622839,35.46636069,12.40830784,13.09812256,91.67711129,0.494583762,0.000115852,0.000988515,0.000635582,0.000180768,0.001777143,3.968728032,19.9481955,10.8531602,0.045507999
-5638,0.14521,58971.122,-395580.5003,5.263157895,20.79622839,15.36846405,10.7825321,17.94999396,86.11350511,0.359533573,0.000115852,0.000790487,0.000312593,0.000332958,0.003094141,3.968728032,17.43995264,7.013300878,0.159621676
-5971,0.14484,59168.317,-272443.4894,0.621118012,30.68023647,0,0,0,79.70946126,0,0.00014153,0,0,0,0.002444047,2.408856334,0,0,0.054854545
-5634,0.14571,58951.157,-583717.2029,7.392197125,33.94896356,42.10303466,10.53425965,17.94999396,83.78262015,0.586560478,9.31e-05,0.000534826,0.000299084,0.000332958,0.00218018,2.431136798,17.85097913,7.013300878,0.103072192
-5222,0.14585,58619.38,-503248.924,22.34636872,33.88460675,29.40889747,85.22384939,96.10285055,99.58013101,1.633646698,0.000103991,0.00063517,0.000132373,0.003071656,0.001446202,2.906813185,2.364990709,0.749012424,0.491700159
-5589,0.14441,58589.639,-94974.42718,41.17647059,20.79622839,0,78.93471419,95.82356525,41.27277131,3.201240105,0.000115852,0,0.000129324,0.003066136,0.004232893,3.968728032,2.553421699,0.75119548,0.623537465
-5610,0.14562,58942.597,-554110.3976,6.826568266,20.79622839,35.46636069,12.40830784,13.09812256,90.26355038,0.502289936,0.000115852,0.000988515,0.000635582,0.000180768,0.001937878,3.968728032,19.9481955,10.8531602,0.046220671
-6672,0.1418,59146.541,-80188.0891,4.72972973,0,0.974130349,0,12.51442401,22.43695748,0.223108609,0,8.66e-05,0,0.000579431,0.001279625,0,0,5.775674448,0.434857758
-5872,0.14393,58657.764,-60484.00323,52.1978022,27.36361595,0,89.00855481,88.23597537,31.9032319,4.405842985,0.000143328,0,0.000492706,0.002862778,0.002626415,3.016215938,1.836709373,0.83449459,1.958116018
-5640,0.14523,58966.087,-411931.1115,6.517311609,27.36361595,17.52603108,12.20864921,17.94999396,86.09377419,0.398508998,0.000143328,0.001037289,0.000353782,0.000332958,0.003098245,3.016215938,15.40275635,7.013300878,0.159658258
